,10,WLD,Base discount (regularized) depth as % of SIC base discount,-13,94.96%,95.09%,95.02%,95.24%,95.03%,92.37%,,82,95.02%,94.21%,94.25%,,,,,90.55%,448,94.45%,85.72%,873,,
,11,WLD,Sweetner Comp,97,98.46%,97.49%,98.15%,95.73%,89.88%,92.70%,,611,98.04%,91.93%,90.96%,,90.0%,804,,76.26%,2178,93.11%,70.80%,2230,90%,311
,12,WLD,Overall Comp (Vs 75% SIC),63,97.72%,97.09%,97.75%,97.74%,97.06%,97.01%,,28,97.52%,97.24%,97.11%,,,,,84.06%,1346,97.25%,74.09%,2316,,
,13,Laptop,Overall Comp (Vs 100% SIC),237,11.96%,9.59%,3.79%,9.82%,12.05%,7.95%,,-102,9.01%,10.03%,20.85%,,,,,67.09%,-5808,16.23%,54.15%,-3793,,
,14,Laptop,Base discount comp. vs 75% SIC discount (% of sessions),,,,,,,,,,,,,,TBU,,,,,,,,TBU,
,15,Laptop,Base discount comp. vs 100% SIC discount (% of sessions),71,7.20%,6.49%,7.14%,8.03%,8.94%,6.14%,,-118,6.96%,8.14%,18.77%,,TBU,,,5.25%,171,14.20%,2.66%,1154,TBU,
,16,Laptop,Sweetner Comp,226,39.48%,37.22%,48.05%,74.48%,80.45%,92.97%,,-4393,41.09%,85.02%,92.05%,,TBU,,,95.85%,-5476,82.09%,96.37%,-1428,TBU,
,17,Ref,Overall Comp,-344,92.83%,96.27%,97.14%,98.03%,95.72%,96.46%,,-191,95.09%,97.00%,96.44%,,90.0%,509,,87.14%,795,96.33%,86.76%,956,90%,633
,18,WM,Overall Comp,-163,97.99%,99.62%,99.14%,98.33%,98.82%,98.96%,,-12,98.81%,98.93%,98.10%,,95.0%,381,,96.86%,195,98.38%,98.16%,22,95%,338
,19,AC,Overall Comp,-168,96.18%,97.86%,98.57%,98.60%,99.05%,98.49%,,-116,97.66%,98.82%,97.57%,,95.0%,266,,93.32%,434,97.86%,95.85%,201,95%,286
,20,TV,Overall Comp,150,95.93%,94.43%,96.30%,98.13%,98.22%,96.71%,,-93,95.55%,96.48%,95.18%,,95.0%,55,,97.70%,-215,95.49%,98.53%,-305,95%,49
,,,Exchange Adoption,,,,,,,,,,,,,,,,,,,,,,,
,21,WLD,Attach (includes reseller customers),-146,9.41%,10.87%,9.95%,9.68%,7.81%,7.35%,,188,10.02%,8.14%,7.24%,,7.0%,302,,7.25%,277,8.17%,7.71%,45,8.40%,-23
,22,WLD,Reseller share Attach rate,-558,5.40%,10.98%,10.58%,5.86%,3.41%,3.92%,,308,8.15%,5.07%,4.80%,,,,,3.18%,496,5.49%,3.66%,183,,
,23,WLD,Sweetner coverage,159,34.46%,32.87%,27.80%,33.48%,21.36%,20.57%,,763,32.20%,24.58%,17.11%,,,,,30.01%,219,23.67%,30.57%,-690,,
,24,Laptop,Attach,31,2.31%,1.99%,1.48%,1.65%,2.12%,2.24%,,-2,1.92%,1.94%,2.84%,,3.5%,-158,,2.46%,-54,2.38%,2.54%,-16,3%,-62
,25,Laptop,Reseller share,270,4.95%,2.25%,3.00%,1.92%,0.74%,0.40%,,194,3.17%,1.23%,6.41%,,,,,1.78%,140,4.23%,1.83%,240,,
,26,Laptop,Sweetner coverage,2267,46.29%,23.62%,9.72%,13.45%,15.09%,24.54%,,1118,28.51%,17.33%,23.69%,,,,,18.74%,977,23.55%,17.90%,565,,
,27,Laptop,VM coverage,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0,0.00%,0.00%,0.00%,,,,,17.98%,-1798,0.00%,17.88%,-1788,,
,28,Ref,Attach,-53,11.91%,12.44%,10.11%,10.08%,8.18%,9.35%,,217,11.56%,9.39%,13.04%,,10.0%,156,,8.71%,285,11.35%,10.29%,107,10%,135
,29,Ref,Sweetner coverage,-1267,15.58%,28.25%,16.36%,15.90%,0.03%,0.00%,,1523,20.02%,4.79%,16.09%,,,,,31.65%,-1163,14.41%,53.74%,-3933,,
,30,Ref,VM coverage,-1090,28.07%,38.96%,45.44%,38.79%,50.31%,45.99%,,-763,38.00%,45.64%,49.65%,,,,,51.57%,-1357,45.82%,43.92%,190,,
,31,WM,Attach,166,13.09%,11.43%,11.37%,12.18%,11.42%,11.53%,,33,11.91%,11.59%,13.91%,,12.0%,-9,,8.71%,321,12.76%,10.58%,218,12.00%,76
,32,WM,Sweetner coverage,114,5.14%,4.00%,0.39%,0.00%,0.01%,0.00%,,317,3.17%,0.00%,16.06%,,,,,0.35%,282,9.33%,13.52%,-419,,
,33,WM,VM coverage,-344,49.18%,52.62%,53.66%,55.28%,52.69%,46.69%,,0,52.38%,52.38%,51.49%,,,,,48.11%,427,52.50%,49.18%,333,,
,34,AC,Attach,32,8.15%,7.83%,8.66%,8.34%,7.69%,8.07%,,10,8.14%,8.04%,6.83%,,6.0%,214,,4.68%,346,7.88%,5.77%,210,6.00%,188
,35,AC,Sweetner coverage,-39,0.17%,0.56%,1.51%,0.09%,0.00%,0.00%,,73,0.77%,0.04%,1.09%,,,,,15.95%,-1519,0.66%,21.21%,-2055,,
,36,AC,VM coverage,-1169,16.34%,28.03%,25.32%,34.18%,22.83%,18.03%,,-219,25.00%,27.19%,33.93%,,,,,27.32%,-232,28.42%,27.85%,57,,
,37,TV,Attach,31,3.32%,3.01%,3.31%,3.23%,3.47%,3.70%,,-40,3.21%,3.60%,3.16%,,5.0%,-179,,3.28%,-7,3.30%,3.75%,-46,5.00%,-170
,38,TV,Sweetner coverage,-92,5.20%,6.13%,6.09%,6.14%,6.60%,6.13%,,-36,5.61%,5.97%,3.65%,,,,,2.95%,265,4.72%,4.83%,-12,,
,39,TV,VM coverage,-247,8.87%,11.34%,10.30%,10.18%,11.97%,10.90%,,-108,10.19%,11.27%,10.80%,,,,,41.74%,-3154,10.98%,47.92%,-3694,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OHL,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Value Competitiveness,,,,,,,,,,,,,,,,,,,,,,,
,40,Fan,Overall Comp,-9,99.43%,99.52%,99.75%,99.76%,99.78%,99.02%,,9,99.58%,99.49%,98.64%,,90.0%,958,,98.83%,75,99.24%,99.18%,7,90%,924
,41,Mixer_Grinder,Overall Comp,-99,98.20%,99.19%,100.00%,97.27%,99.56%,97.04%,,105,99.20%,98.15%,97.21%,,,,,98.32%,88,97.59%,97.59%,0,,
,42,Vacuum_Cleaner,Overall Comp,0,100.00%,100.00%,100.00%,100.00%,99.18%,100.00%,,76,100.00%,99.24%,97.53%,,90.0%,1000,,95.29%,471,98.22%,87.23%,1099,90%,822
,43,Water_heater,Overall Comp,257,100.00%,97.43%,96.61%,78.12%,82.92%,82.85%,,2019,98.25%,78.06%,97.16%,,90.0%,825,,99.70%,-145,96.51%,98.28%,-177,90%,651
,44,Waterpurifier,Overall Comp,-56,75.62%,76.18%,72.82%,75.24%,72.34%,70.05%,,17,74.86%,74.69%,75.44%,,90.0%,-1514,,95.82%,-2096,75.02%,94.78%,-1976,90%,-1498
,45,Gas Stove,Overall Comp,360,99.07%,95.47%,97.60%,97.84%,99.00%,99.46%,,-151,97.49%,99.00%,98.83%,,90.0%,749,,99.42%,-193,98.62%,88.60%,1002,90%,862
,46,Pressure Cooker,Overall Comp,-589,94.11%,100.00%,100.00%,97.77%,100.00%,98.55%,,-159,97.60%,99.19%,97.55%,,90.0%,760,,98.98%,-138,97.61%,98.63%,-102,90%,761
